Frame count, Pixels in mask, Processing time of image inpainting (ms), Fillrate (px/ms), Frame time (delta time) (ms)
630, 0, 4.3502, 0, 10.3933
640, 0, 4.9514, 0, 10.5753
650, 0, 4.5158, 0, 10.454
660, 0, 5.9173, 0, 12.0651
670, 0, 4.8579, 0, 11.208
680, 0, 4.8086, 0, 10.1627
690, 0, 4.8073, 0, 9.8913
700, 0, 4.8071, 0, 11.1297
710, 0, 4.9132, 0, 15.6889
720, 0, 4.9085, 0, 10.3992
730, 0, 4.8026, 0, 10.0392
740, 0, 4.9037, 0, 11.4574
750, 0, 5.3788, 0, 10.1272
760, 0, 6.1181, 0, 15.5721
770, 0, 6.4145, 0, 12.5505
780, 0, 4.8195, 0, 9.8901
790, 0, 4.5554, 0, 10.6185
800, 0, 4.7818, 0, 11.0886
810, 0, 4.8711, 0, 10.6126
820, 0, 5.9064, 0, 12.0835
830, 0, 4.7433, 0, 9.6613
840, 0, 4.8452, 0, 11.0416
850, 0, 5.5657, 0, 10.597
860, 0, 4.4641, 0, 9.9998
870, 0, 4.8188, 0, 10.8892
880, 0, 4.5977, 0, 10.1052
890, 0, 4.6535, 0, 10.4537
900, 0, 4.414, 0, 10.2338
910, 0, 6.0379, 0, 11.8068
920, 0, 4.8331, 0, 10.1217
930, 0, 4.8309, 0, 11.3953
940, 8516, 15.8659, 536.7486, 39.124
950, 11053, 16.2607, 679.737, 36.6347
960, 12237, 17.7804, 688.2297, 41.1168
970, 13746, 18.2822, 751.8789, 38.2263
980, 14610, 15.8248, 923.2344, 40.3428
990, 14568, 15.4296, 944.1593, 39.9359
1000, 14567, 15.7399, 925.4824, 36.1078
1010, 14398, 15.6149, 922.0681, 31.8147
1020, 14233, 15.3509, 927.1769, 36.3081
1030, 14200, 15.5706, 911.9752, 31.5853
1040, 14348, 15.609, 919.2133, 31.7944
1050, 14368, 15.2288, 943.4755, 31.8518
1060, 14347, 14.8834, 963.9598, 31.5585
1070, 14197, 14.8038, 959.0106, 34.4217
1080, 13935, 14.8653, 937.418, 30.8601
1090, 13664, 14.8549, 919.8311, 36.4808
1100, 14239, 14.2429, 999.7262, 30.7694
1110, 13728, 14.8031, 927.3734, 34.9338
1120, 18499, 15.9993, 1156.238, 37.0151
1130, 20253, 15.861, 1276.906, 32.1783
1140, 18328, 18.1477, 1009.935, 34.3614
1150, 17252, 15.7701, 1093.969, 32.2897
1160, 17359, 15.5746, 1114.571, 32.8532
1170, 18334, 16.6519, 1101.016, 34.2116
1180, 19411, 15.9862, 1214.235, 32.8804
1190, 19076, 15.7046, 1214.676, 33.322
1200, 14194, 14.5254, 977.1848, 34.6109
1210, 12929, 13.4539, 960.9853, 28.9826
1220, 12986, 13.1743, 985.707, 29.2357
1230, 13633, 12.9887, 1049.605, 36.8958
1240, 18849, 16.7928, 1122.445, 36.4981
1250, 19990, 14.4405, 1384.301, 41.8877
1260, 17447, 16.5667, 1053.137, 35.7992
1270, 17017, 16.285, 1044.949, 40.1115
1280, 17305, 14.2939, 1210.656, 40.412
1290, 19639, 15.4235, 1273.317, 35.3009
